"","group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"1","HD",0,70.145,5.9125940875576,58.5565285331826,81.7334714668173,1,0.834792622898035,1.16520737710197,"Y28.2","Non Naive CD8 Specific"
"4","HD",0,66.32,5.52541864986549,55.4903784467577,77.1496215532423,1,0.836706550765345,1.16329344923465,"Y28.4","Non Naive CD8 Specific"
"7","HD",0,138.56,4.62094858542548,129.503107198155,147.616892801845,1,0.934635588901232,1.06536441109877,"Y29.2","Non Naive CD8 Specific"
"10","HD",0,127.305,4.8310111096652,117.836392216143,136.773607783857,1,0.925622655953367,1.07437734404663,"Y54.4","Non Naive CD8 Specific"
"13","Booster",0,127.15,5.15951577331394,117.037534906638,137.262465093362,1,0.920468225769865,1.07953177423013,"B1","Non Naive CD8 Specific"
"16","Booster",0,113.055,5.526725838366,102.222816404376,123.887183595624,1,0.904186603019554,1.09581339698045,"B2","Non Naive CD8 Specific"
"19","Booster",0,101.065,5.79210821617999,89.7126765017287,112.417323498271,1,0.887673047066034,1.11232695293397,"B3","Non Naive CD8 Specific"
"22","Booster",0,107.57,5.4731046373936,96.8429120270894,118.297087972911,1,0.900278070345723,1.09972192965428,"B4","Non Naive CD8 Specific"
"25","Carditis",0,143.1,4.58312394831605,134.117242124618,152.082757875382,1,0.93722740827825,1.06277259172175,"Y165.1","Non Naive CD8 Specific"
"28","Carditis",0,133.58,4.82285180131916,124.12738416664,143.03261583336,1,0.929236294105707,1.07076370589429,"Y167.1","Non Naive CD8 Specific"
"31","Carditis",0,143.75,4.50767073746374,134.915127700406,152.584872299594,1,0.938540018785433,1.06145998121457,"Y170.1","Non Naive CD8 Specific"
"34","Carditis",0,146.61,4.08427552114978,138.604967075608,154.615032924392,1,0.945399134271931,1.05460086572807,"Y172.1","Non Naive CD8 Specific"
"37","Recovered",0,144.38,4.09873126588579,136.346634336556,152.413365663444,1,0.944359567367749,1.05564043263225,"165.1R","Non Naive CD8 Specific"
"40","Recovered",0,126.345,5.21073254623011,116.132151876318,136.557848123682,1,0.919166978323782,1.08083302167622,"170.1R","Non Naive CD8 Specific"
"43","Recovered",0,145.95,4.23523150838868,137.649098777369,154.250901222631,1,0.94312503444583,1.05687496555417,"172.1R","Non Naive CD8 Specific"
