"","group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"2","HD",1,0.99534822556445,2.12732429622223,156.484701343198,164.823659351263,0.995348225564451,0.969515822577972,1.02118062855093,"Y28.2","All Memory"
"5","HD",1,0.997465109006535,1.41443817634261,158.727327915258,164.271823683238,0.997465109006535,0.9803429554398,1.01458726257327,"Y28.4","All Memory"
"8","HD",1,0.995471760869139,2.00037203666253,156.718620903914,164.559935198993,0.995471760869142,0.971175688813992,1.01976783292429,"Y29.2","All Memory"
"11","HD",1,0.996475741097553,1.87372847592449,157.382951325273,164.727831984511,0.996475741097555,0.973753759166423,1.01919772302869,"Y54.4","All Memory"
"14","Booster",1,0.997537347659602,1.46105327583322,158.677586279868,164.404809880123,0.9975373476596,0.979854182288924,1.01522051303028,"B1","All Memory"
"17","Booster",1,0.991503850946919,2.87801622174766,152.945275298157,164.226891581252,0.991503850946917,0.956236676971192,1.02677102492264,"B2","All Memory"
"20","Booster",1,0.997751745896016,1.34002615961357,159.044301135077,164.297107157446,0.997751745896019,0.981542883544156,1.01396060824788,"B3","All Memory"
"23","Booster",1,0.983412203158632,3.87590299176585,146.710578526189,161.903839069053,0.983412203158634,0.934998269875656,1.03182613644161,"B4","All Memory"
"26","Carditis",1,0.983939383559301,3.61163703154416,147.40472440867,161.562081422785,0.983939383559298,0.938853695160472,1.02902507195812,"Y165.1","All Memory"
"29","Carditis",1,0.984334894797231,3.53754511355689,147.676020909544,161.542942942058,0.98433489479723,0.940192404084445,1.02847738551001,"Y167.1","All Memory"
"32","Carditis",1,0.995158822857416,1.99538171583643,156.588338651995,164.410091248893,0.995158822857415,0.970909837871992,1.01940780784284,"Y170.1","All Memory"
"35","Carditis",1,0.996181231313336,1.99510016083577,157.062600707134,164.883249628711,0.996181231313339,0.971982181491022,1.02038028113566,"Y172.1","All Memory"
"38","Recovered",1,0.997635387237912,1.25068377893605,159.145684862034,164.04827518756,0.997635387237912,0.982502067304815,1.01276870717101,"165.1R","All Memory"
"41","Recovered",1,0.991503664637863,2.97064582276067,152.843015110239,164.487732757109,0.991503664637862,0.955119607000397,1.02788772227533,"170.1R","All Memory"
"44","Recovered",1,0.99780282414087,1.34113862877854,159.065364241346,164.322531062709,0.997802824140869,0.981582007043175,1.01402364123856,"172.1R","All Memory"
